,Times (s),Current (A),Current_STD (A),Voltage (V)
209,36.3593270778656,0.03749552,0.0,3.6
210,36.53139138221741,0.03757571,0.0,3.6
211,36.70074510574341,0.03766041,0.0,3.6
212,36.87144899368286,0.03771534,0.0,3.6
213,37.04144549369812,0.03774616,0.0,3.6
214,37.21142244338989,0.03776406,0.0,3.6
215,37.38281846046448,0.03773596,0.0,3.6
216,37.55440044403076,0.03777386,0.0,3.6
217,37.727466344833374,0.03777745,0.0,3.6
218,37.89907360076904,0.03778062,0.0,3.6
219,38.06919622421265,0.0377789,0.0,3.6
220,38.2527539730072,0.03777963,0.0,3.6
221,38.423314571380615,0.03777697,0.0,3.6
222,38.594496726989746,0.03777976,0.0,3.6
223,38.766934394836426,0.03778486,0.0,3.6
224,38.93765211105347,0.03778619,0.0,3.6
225,39.10811805725098,0.03778092,0.0,3.6
226,39.27855706214905,0.03778516,0.0,3.6
227,39.45053720474243,0.03778135,0.0,3.6
228,39.62104821205139,0.03778176,0.0,3.6
229,39.79321885108948,0.03778118,0.0,3.6
230,39.96437382698059,0.03778279,0.0,3.6
231,40.137009143829346,0.03778245,0.0,3.6
232,40.30654692649841,0.03778509,0.0,3.6
233,40.47722363471985,0.03778473,0.0,3.6
234,40.648046016693115,0.03778347,0.0,3.6
235,40.8189582824707,0.03778388,0.0,3.6
236,40.990625858306885,0.01294928,0.0,3.6
237,41.16207671165466,0.01257563,0.0,3.6
238,41.33243274688721,0.01251194,0.0,3.6
239,41.500510454177856,0.01264936,0.0,3.6
240,41.66928195953369,0.0124663,0.0,3.6
241,41.838539123535156,0.012467,0.0,3.6
242,42.007532596588135,0.01253846,0.0,3.6
243,42.179338693618774,0.01246087,0.0,3.6
244,42.34969115257263,0.01242546,0.0,3.6
245,42.52181673049927,0.01262466,0.0,3.6
246,42.69223880767822,0.01242195,0.0,3.6
247,42.875009536743164,0.01672077,0.0,3.6
248,43.04771614074707,0.01448098,0.0,3.6
249,43.217862606048584,0.01448622,0.0,3.6
250,43.388659715652466,0.01449263,0.0,3.6
251,43.57347226142883,0.01449745,0.0,3.6
252,43.74423336982727,0.01449649,0.0,3.6
253,43.927661418914795,0.01449705,0.0,3.6
254,44.09855794906616,0.0144986,0.0,3.6
255,44.26862454414368,0.01449905,0.0,3.6
256,44.43939781188965,0.01449575,0.0,3.6
257,44.624616861343384,0.01449625,0.0,3.6
258,44.7973849773407,0.01449317,0.0,3.6
259,44.96671390533447,0.01449516,0.0,3.6
260,45.137229442596436,0.01449304,0.0,3.6
261,45.31035590171814,0.01449246,0.0,3.6
262,45.48122048377991,0.01449054,0.0,3.6
263,45.65083146095276,0.01449264,0.0,3.6
264,45.82244253158569,0.01449221,0.0,3.6
265,45.99235200881958,0.01449546,0.0,3.6
266,46.16365456581116,0.01449423,0.0,3.6
267,46.33334922790527,0.01449535,0.0,3.6
268,46.517866134643555,0.01449569,0.0,3.6
269,46.69184970855713,0.01449496,0.0,3.6
270,46.863606452941895,0.01449754,0.0,3.6
271,47.035542011260986,0.01449634,0.0,3.6
272,47.20821571350098,0.01449544,0.0,3.6
273,47.37804913520813,0.01449692,0.0,3.6
274,47.548360109329224,0.01449751,0.0,3.6
275,47.72000432014465,0.01449596,0.0,3.6
276,47.90456962585449,0.01449566,0.0,3.6
277,48.07597470283508,0.01449377,0.0,3.6
278,48.247517108917236,0.01449442,0.0,3.6
279,48.432544469833374,0.014493,0.0,3.6
280,48.60238766670227,0.01449424,0.0,3.6
281,48.77682566642761,0.01449456,0.0,3.6
282,48.938607931137085,0.0144928,0.0,3.6
283,49.11072325706482,0.01449351,0.0,3.6
284,49.28062987327576,0.01449344,0.0,3.6
285,49.45564389228821,0.01449319,0.0,3.6
286,49.6175320148468,0.0144899,0.0,3.6
287,49.78386831283569,0.0144917,0.0,3.6
288,49.95661544799805,0.01448956,0.0,3.6
289,50.117422580718994,0.01449355,0.0,3.6
290,50.285317182540894,0.01449118,0.0,3.6
291,50.457653284072876,0.01448912,0.0,3.6
292,50.623162508010864,0.01448995,0.0,3.6
293,50.796995401382446,0.01448842,0.0,3.6
294,50.97708702087402,0.01448955,0.0,3.6
295,51.146589040756226,0.01449014,0.0,3.6
296,51.331109285354614,0.01449104,0.0,3.6
297,51.488216400146484,0.01449165,0.0,3.6
298,51.6551833152771,0.0144886,0.0,3.6
299,51.81989884376526,0.01448747,0.0,3.6
300,51.98846077919006,0.01448957,0.0,3.6
301,52.15994834899902,0.01448717,0.0,3.6
302,52.33929395675659,0.01449073,0.0,3.6
303,52.519890546798706,0.01449174,0.0,3.6
304,52.69299244880676,0.01449057,0.0,3.6
305,52.863603830337524,0.01448942,0.0,3.6
306,53.03669881820679,0.01448896,0.0,3.6
307,53.200151681900024,0.01448834,0.0,3.6
308,53.37152409553528,0.0144922,0.0,3.6
309,53.53837823867798,0.014491,0.0,3.6
310,53.700528621673584,0.01449048,0.0,3.6
311,53.861868143081665,0.01449031,0.0,3.6
312,54.04929709434509,0.0144914,0.0,3.6
313,54.22019958496094,0.01449636,0.0,3.6
314,54.38259243965149,0.01449518,0.0,3.6
315,54.55271911621094,0.01449381,0.0,3.6
316,54.732173204422,0.01449329,0.0,3.6
317,54.902567863464355,0.01448778,0.0,3.6
318,55.07377529144287,0.01448691,0.0,3.6
319,55.245856523513794,0.01448514,0.0,3.6
320,55.41462516784668,0.01448732,0.0,3.6
321,55.58019804954529,0.0144898,0.0,3.6
322,55.754605770111084,0.01253198,0.0,3.6
323,55.91989207267761,0.0124811,0.0,3.6
324,56.0905544757843,0.01255953,0.0,3.6
325,56.261276721954346,0.01319452,0.0,3.6
326,56.43451261520386,0.01244319,0.0,3.6
327,56.59551668167114,0.01244522,0.0,3.6
328,56.76590299606323,0.01261015,0.0,3.6
329,56.94723153114319,0.01259961,0.0,3.6
330,57.116517543792725,0.01263489,0.0,3.6
331,57.27877902984619,0.01240795,0.0,3.6
332,57.449594020843506,0.01242248,0.0,3.6
333,57.61148977279663,0.01447026,0.0,3.6
334,57.79580068588257,0.01447805,0.0,3.6
335,57.96183490753174,0.01448782,0.0,3.6
336,58.13058614730835,0.01448968,0.0,3.6
337,58.289544343948364,0.01448758,0.0,3.6
338,58.45147776603699,0.01449014,0.0,3.6
339,58.622079610824585,0.01450655,0.0,3.6
340,58.793052673339844,0.01450096,0.0,3.6
341,58.96323013305664,0.01449593,0.0,3.6
342,59.13863778114319,0.01449679,0.0,3.6
343,59.313348054885864,0.01449573,0.0,3.6
344,59.48043966293335,0.01449084,0.0,3.6
345,59.652464628219604,0.01448999,0.0,3.6
346,59.81623601913452,0.01449173,0.0,3.6
347,59.998114824295044,0.01448811,0.0,3.6
348,60.1645143032074,0.0144894,0.0,3.6
349,60.349395751953125,0.01449057,0.0,3.6
350,60.53248190879822,0.01449208,0.0,3.6
351,60.700806856155396,0.01448979,0.0,3.6
352,60.8641242980957,0.0144896,0.0,3.6
353,61.03586673736572,0.01448772,0.0,3.6
354,61.197685956954956,0.01448921,0.0,3.6
355,61.36419129371643,0.01448945,0.0,3.6
356,61.523112773895264,0.01448684,0.0,3.6
357,61.69199275970459,0.01448596,0.0,3.6
358,61.87098979949951,0.01448854,0.0,3.6
359,62.05013656616211,0.01448858,0.0,3.6
360,62.22851872444153,0.0144885,0.0,3.6
361,62.39081692695618,0.01448768,0.0,3.6
362,62.56503438949585,0.01448753,0.0,3.6
363,62.73279166221619,0.01448731,0.0,3.6
364,62.91457962989807,0.01448715,0.0,3.6
365,63.078216314315796,0.01448721,0.0,3.6
366,63.24777555465698,0.01448605,0.0,3.6
367,63.422181367874146,0.01448504,0.0,3.6
368,63.584893465042114,0.01448603,0.0,3.6
369,63.762189626693726,0.01448498,0.0,3.6
370,63.934157609939575,0.01448514,0.0,3.6
371,64.09857606887817,0.0144885,0.0,3.6
372,64.28508710861206,0.0144892,0.0,3.6
373,64.4544997215271,0.01448812,0.0,3.6
