"date_time","omegas_temp_raw.durafet","p_h","logger","durafet"
2023-04-09 15:16:42,0.850614074543615,8.86256187369329,"madgetech","green"
2023-04-09 15:17:12,0.85345730987101,8.86218156213756,"madgetech","green"
2023-04-09 15:17:42,0.856382409025612,8.86248250193663,"madgetech","green"
2023-04-09 15:18:12,0.859319192671242,8.86220242328882,"madgetech","green"
2023-04-09 15:18:42,0.86186415945652,8.86176117747082,"madgetech","green"
2023-04-09 15:19:12,0.864684392456634,8.8619065026804,"madgetech","green"
2023-04-09 15:19:42,0.867237283611346,8.86211661679163,"madgetech","green"
2023-04-09 15:20:12,0.869850390333886,8.86193302893021,"madgetech","green"
2023-04-09 15:20:42,0.874329450656071,8.86137838683757,"madgetech","green"
2023-04-09 15:21:12,0.879603961109058,8.86130703694868,"madgetech","green"
2023-04-09 15:21:42,0.883256681393668,8.86091696258127,"madgetech","green"
2023-04-09 15:22:12,0.884675800240197,8.86090416336429,"madgetech","green"
2023-04-09 15:22:42,0.886176060038588,8.86092370474924,"madgetech","green"
2023-04-09 15:23:12,0.888013110727087,8.86115298901391,"madgetech","green"
2023-04-09 15:23:42,0.890971455316383,8.86100690925428,"madgetech","green"
2023-04-09 15:24:12,0.893301886438633,8.86109395375922,"madgetech","green"
2023-04-09 15:24:42,0.896579067113351,8.86064219645942,"madgetech","green"
2023-04-09 15:25:12,0.899896731141481,8.86060587228013,"madgetech","green"
2023-04-09 15:25:42,0.903246892904769,8.86081074038488,"madgetech","green"
2023-04-09 15:26:12,0.90765757170606,8.8603347419856,"madgetech","green"
2023-04-09 15:26:42,0.911679621218925,8.86031949798818,"madgetech","green"
2023-04-09 15:27:12,0.91567709203192,8.85963817403872,"madgetech","green"
2023-04-09 15:27:42,0.919721236099806,8.85968184498136,"madgetech","green"
2023-04-09 15:28:12,0.924012726700474,8.85929361294738,"madgetech","green"
2023-04-09 15:28:42,0.928280238418931,8.85891050815916,"madgetech","green"
2023-04-09 15:29:12,0.932460219708354,8.85865477671833,"madgetech","green"
2023-04-09 15:29:42,0.936387713194377,8.85900936703415,"madgetech","green"
2023-04-09 15:30:12,0.940519789103385,8.85908859367925,"madgetech","green"
2023-04-09 15:30:42,0.944777734175572,8.85925763230698,"madgetech","green"
